available_power_mw,critical_load_mw,served_critical_mw,unserved_critical_mw,islanding_feasible,resilience_score,case,microgrid_bus,local_generation_mw,bess_power_mw
50,25,25,0.0,True,1.0,ieee30,3,50,0
75,25,25,0.0,True,1.0,ieee30,3,50,25
100,25,25,0.0,True,1.0,ieee30,3,50,50
150,25,25,0.0,True,1.0,ieee30,3,50,100
10,50,10,40.0,False,0.2,ieee30,3,10,0
35,50,35,15.0,False,0.7,ieee30,3,10,25
60,50,50,0.0,True,1.0,ieee30,3,10,50
110,50,50,0.0,True,1.0,ieee30,3,10,100
25,50,25,25.0,False,0.5,ieee30,3,25,0
50,50,50,0.0,True,1.0,ieee30,3,25,25
75,50,50,0.0,True,1.0,ieee30,3,25,50
125,50,50,0.0,True,1.0,ieee30,3,25,100
50,50,50,0.0,True,1.0,ieee30,3,50,0
75,50,50,0.0,True,1.0,ieee30,3,50,25
100,50,50,0.0,True,1.0,ieee30,3,50,50
150,50,50,0.0,True,1.0,ieee30,3,50,100
10,100,10,90.0,False,0.1,ieee30,3,10,0
35,100,35,65.0,False,0.35,ieee30,3,10,25
60,100,60,40.0,False,0.6,ieee30,3,10,50
110,100,100,0.0,True,1.0,ieee30,3,10,100
25,100,25,75.0,False,0.25,ieee30,3,25,0
50,100,50,50.0,False,0.5,ieee30,3,25,25
75,100,75,25.0,False,0.75,ieee30,3,25,50
125,100,100,0.0,True,1.0,ieee30,3,25,100
50,100,50,50.0,False,0.5,ieee30,3,50,0
75,100,75,25.0,False,0.75,ieee30,3,50,25
100,100,100,0.0,True,1.0,ieee30,3,50,50
150,100,100,0.0,True,1.0,ieee30,3,50,100
10,25,10,15.0,False,0.4,ieee30,6,10,0
35,25,25,0.0,True,1.0,ieee30,6,10,25
60,25,25,0.0,True,1.0,ieee30,6,10,50
110,25,25,0.0,True,1.0,ieee30,6,10,100
25,25,25,0.0,True,1.0,ieee30,6,25,0
50,25,25,0.0,True,1.0,ieee30,6,25,25
75,25,25,0.0,True,1.0,ieee30,6,25,50
125,25,25,0.0,True,1.0,ieee30,6,25,100
50,25,25,0.0,True,1.0,ieee30,6,50,0
75,25,25,0.0,True,1.0,ieee30,6,50,25
100,25,25,0.0,True,1.0,ieee30,6,50,50
150,25,25,0.0,True,1.0,ieee30,6,50,100
10,50,10,40.0,False,0.2,ieee30,6,10,0
35,50,35,15.0,False,0.7,ieee30,6,10,25
60,50,50,0.0,True,1.0,ieee30,6,10,50
110,50,50,0.0,True,1.0,ieee30,6,10,100
25,50,25,25.0,False,0.5,ieee30,6,25,0
50,50,50,0.0,True,1.0,ieee30,6,25,25
75,50,50,0.0,True,1.0,ieee30,6,25,50
125,50,50,0.0,True,1.0,ieee30,6,25,100
50,50,50,0.0,True,1.0,ieee30,6,50,0
75,50,50,0.0,True,1.0,ieee30,6,50,25
100,50,50,0.0,True,1.0,ieee30,6,50,50
150,50,50,0.0,True,1.0,ieee30,6,50,100
10,100,10,90.0,False,0.1,ieee30,6,10,0
35,100,35,65.0,False,0.35,ieee30,6,10,25
60,100,60,40.0,False,0.6,ieee30,6,10,50
110,100,100,0.0,True,1.0,ieee30,6,10,100
25,100,25,75.0,False,0.25,ieee30,6,25,0
50,100,50,50.0,False,0.5,ieee30,6,25,25
75,100,75,25.0,False,0.75,ieee30,6,25,50
125,100,100,0.0,True,1.0,ieee30,6,25,100
50,100,50,50.0,False,0.5,ieee30,6,50,0
75,100,75,25.0,False,0.75,ieee30,6,50,25
100,100,100,0.0,True,1.0,ieee30,6,50,50
150,100,100,0.0,True,1.0,ieee30,6,50,100
10,25,10,15.0,False,0.4,ieee30,9,10,0
35,25,25,0.0,True,1.0,ieee30,9,10,25
60,25,25,0.0,True,1.0,ieee30,9,10,50
110,25,25,0.0,True,1.0,ieee30,9,10,100
25,25,25,0.0,True,1.0,ieee30,9,25,0
50,25,25,0.0,True,1.0,ieee30,9,25,25
75,25,25,0.0,True,1.0,ieee30,9,25,50
125,25,25,0.0,True,1.0,ieee30,9,25,100
50,25,25,0.0,True,1.0,ieee30,9,50,0
75,25,25,0.0,True,1.0,ieee30,9,50,25
100,25,25,0.0,True,1.0,ieee30,9,50,50
150,25,25,0.0,True,1.0,ieee30,9,50,100
10,50,10,40.0,False,0.2,ieee30,9,10,0
35,50,35,15.0,False,0.7,ieee30,9,10,25
60,50,50,0.0,True,1.0,ieee30,9,10,50
110,50,50,0.0,True,1.0,ieee30,9,10,100
25,50,25,25.0,False,0.5,ieee30,9,25,0
50,50,50,0.0,True,1.0,ieee30,9,25,25
75,50,50,0.0,True,1.0,ieee30,9,25,50
125,50,50,0.0,True,1.0,ieee30,9,25,100
50,50,50,0.0,True,1.0,ieee30,9,50,0
75,50,50,0.0,True,1.0,ieee30,9,50,25
100,50,50,0.0,True,1.0,ieee30,9,50,50
150,50,50,0.0,True,1.0,ieee30,9,50,100
10,100,10,90.0,False,0.1,ieee30,9,10,0
35,100,35,65.0,False,0.35,ieee30,9,10,25
60,100,60,40.0,False,0.6,ieee30,9,10,50
110,100,100,0.0,True,1.0,ieee30,9,10,100
25,100,25,75.0,False,0.25,ieee30,9,25,0
50,100,50,50.0,False,0.5,ieee30,9,25,25
75,100,75,25.0,False,0.75,ieee30,9,25,50
125,100,100,0.0,True,1.0,ieee30,9,25,100
50,100,50,50.0,False,0.5,ieee30,9,50,0
75,100,75,25.0,False,0.75,ieee30,9,50,25
100,100,100,0.0,True,1.0,ieee30,9,50,50
150,100,100,0.0,True,1.0,ieee30,9,50,100
10,25,10,15.0,False,0.4,ieee30,13,10,0
35,25,25,0.0,True,1.0,ieee30,13,10,25
60,25,25,0.0,True,1.0,ieee30,13,10,50
110,25,25,0.0,True,1.0,ieee30,13,10,100
25,25,25,0.0,True,1.0,ieee30,13,25,0
50,25,25,0.0,True,1.0,ieee30,13,25,25
75,25,25,0.0,True,1.0,ieee30,13,25,50
125,25,25,0.0,True,1.0,ieee30,13,25,100
50,25,25,0.0,True,1.0,ieee30,13,50,0
75,25,25,0.0,True,1.0,ieee30,13,50,25
100,25,25,0.0,True,1.0,ieee30,13,50,50
150,25,25,0.0,True,1.0,ieee30,13,50,100
10,50,10,40.0,False,0.2,ieee30,13,10,0
35,50,35,15.0,False,0.7,ieee30,13,10,25
60,50,50,0.0,True,1.0,ieee30,13,10,50
110,50,50,0.0,True,1.0,ieee30,13,10,100
25,50,25,25.0,False,0.5,ieee30,13,25,0
50,50,50,0.0,True,1.0,ieee30,13,25,25
75,50,50,0.0,True,1.0,ieee30,13,25,50
125,50,50,0.0,True,1.0,ieee30,13,25,100
50,50,50,0.0,True,1.0,ieee30,13,50,0
75,50,50,0.0,True,1.0,ieee30,13,50,25
100,50,50,0.0,True,1.0,ieee30,13,50,50
150,50,50,0.0,True,1.0,ieee30,13,50,100
10,100,10,90.0,False,0.1,ieee30,13,10,0
35,100,35,65.0,False,0.35,ieee30,13,10,25
60,100,60,40.0,False,0.6,ieee30,13,10,50
110,100,100,0.0,True,1.0,ieee30,13,10,100
25,100,25,75.0,False,0.25,ieee30,13,25,0
50,100,50,50.0,False,0.5,ieee30,13,25,25
75,100,75,25.0,False,0.75,ieee30,13,25,50
125,100,100,0.0,True,1.0,ieee30,13,25,100
50,100,50,50.0,False,0.5,ieee30,13,50,0
75,100,75,25.0,False,0.75,ieee30,13,50,25
100,100,100,0.0,True,1.0,ieee30,13,50,50
150,100,100,0.0,True,1.0,ieee30,13,50,100
10,25,10,15.0,False,0.4,ieee30,14,10,0
35,25,25,0.0,True,1.0,ieee30,14,10,25
60,25,25,0.0,True,1.0,ieee30,14,10,50
110,25,25,0.0,True,1.0,ieee30,14,10,100
25,25,25,0.0,True,1.0,ieee30,14,25,0
50,25,25,0.0,True,1.0,ieee30,14,25,25
75,25,25,0.0,True,1.0,ieee30,14,25,50
125,25,25,0.0,True,1.0,ieee30,14,25,100
50,25,25,0.0,True,1.0,ieee30,14,50,0
75,25,25,0.0,True,1.0,ieee30,14,50,25
100,25,25,0.0,True,1.0,ieee30,14,50,50
150,25,25,0.0,True,1.0,ieee30,14,50,100
10,50,10,40.0,False,0.2,ieee30,14,10,0
35,50,35,15.0,False,0.7,ieee30,14,10,25
60,50,50,0.0,True,1.0,ieee30,14,10,50
110,50,50,0.0,True,1.0,ieee30,14,10,100
25,50,25,25.0,False,0.5,ieee30,14,25,0
50,50,50,0.0,True,1.0,ieee30,14,25,25
75,50,50,0.0,True,1.0,ieee30,14,25,50
125,50,50,0.0,True,1.0,ieee30,14,25,100
50,50,50,0.0,True,1.0,ieee30,14,50,0
75,50,50,0.0,True,1.0,ieee30,14,50,25
100,50,50,0.0,True,1.0,ieee30,14,50,50
150,50,50,0.0,True,1.0,ieee30,14,50,100
10,100,10,90.0,False,0.1,ieee30,14,10,0
35,100,35,65.0,False,0.35,ieee30,14,10,25
60,100,60,40.0,False,0.6,ieee30,14,10,50
110,100,100,0.0,True,1.0,ieee30,14,10,100
25,100,25,75.0,False,0.25,ieee30,14,25,0
50,100,50,50.0,False,0.5,ieee30,14,25,25
75,100,75,25.0,False,0.75,ieee30,14,25,50
125,100,100,0.0,True,1.0,ieee30,14,25,100
50,100,50,50.0,False,0.5,ieee30,14,50,0
75,100,75,25.0,False,0.75,ieee30,14,50,25
100,100,100,0.0,True,1.0,ieee30,14,50,50
150,100,100,0.0,True,1.0,ieee30,14,50,100
10,25,10,15.0,False,0.4,ieee30,16,10,0
35,25,25,0.0,True,1.0,ieee30,16,10,25
60,25,25,0.0,True,1.0,ieee30,16,10,50
110,25,25,0.0,True,1.0,ieee30,16,10,100
25,25,25,0.0,True,1.0,ieee30,16,25,0
50,25,25,0.0,True,1.0,ieee30,16,25,25
75,25,25,0.0,True,1.0,ieee30,16,25,50
125,25,25,0.0,True,1.0,ieee30,16,25,100
50,25,25,0.0,True,1.0,ieee30,16,50,0
75,25,25,0.0,True,1.0,ieee30,16,50,25
100,25,25,0.0,True,1.0,ieee30,16,50,50
150,25,25,0.0,True,1.0,ieee30,16,50,100
10,50,10,40.0,False,0.2,ieee30,16,10,0
35,50,35,15.0,False,0.7,ieee30,16,10,25
60,50,50,0.0,True,1.0,ieee30,16,10,50
110,50,50,0.0,True,1.0,ieee30,16,10,100
25,50,25,25.0,False,0.5,ieee30,16,25,0
50,50,50,0.0,True,1.0,ieee30,16,25,25
75,50,50,0.0,True,1.0,ieee30,16,25,50
125,50,50,0.0,True,1.0,ieee30,16,25,100
50,50,50,0.0,True,1.0,ieee30,16,50,0
75,50,50,0.0,True,1.0,ieee30,16,50,25
100,50,50,0.0,True,1.0,ieee30,16,50,50
150,50,50,0.0,True,1.0,ieee30,16,50,100
10,100,10,90.0,False,0.1,ieee30,16,10,0
35,100,35,65.0,False,0.35,ieee30,16,10,25
60,100,60,40.0,False,0.6,ieee30,16,10,50
110,100,100,0.0,True,1.0,ieee30,16,10,100
25,100,25,75.0,False,0.25,ieee30,16,25,0
50,100,50,50.0,False,0.5,ieee30,16,25,25
75,100,75,25.0,False,0.75,ieee30,16,25,50
125,100,100,0.0,True,1.0,ieee30,16,25,100
50,100,50,50.0,False,0.5,ieee30,16,50,0
75,100,75,25.0,False,0.75,ieee30,16,50,25
100,100,100,0.0,True,1.0,ieee30,16,50,50
150,100,100,0.0,True,1.0,ieee30,16,50,100
10,25,10,15.0,False,0.4,ieee30,20,10,0
35,25,25,0.0,True,1.0,ieee30,20,10,25
60,25,25,0.0,True,1.0,ieee30,20,10,50
110,25,25,0.0,True,1.0,ieee30,20,10,100
25,25,25,0.0,True,1.0,ieee30,20,25,0
50,25,25,0.0,True,1.0,ieee30,20,25,25
75,25,25,0.0,True,1.0,ieee30,20,25,50
125,25,25,0.0,True,1.0,ieee30,20,25,100
50,25,25,0.0,True,1.0,ieee30,20,50,0
75,25,25,0.0,True,1.0,ieee30,20,50,25
100,25,25,0.0,True,1.0,ieee30,20,50,50
150,25,25,0.0,True,1.0,ieee30,20,50,100
10,50,10,40.0,False,0.2,ieee30,20,10,0
35,50,35,15.0,False,0.7,ieee30,20,10,25
60,50,50,0.0,True,1.0,ieee30,20,10,50
110,50,50,0.0,True,1.0,ieee30,20,10,100
25,50,25,25.0,False,0.5,ieee30,20,25,0
50,50,50,0.0,True,1.0,ieee30,20,25,25
75,50,50,0.0,True,1.0,ieee30,20,25,50
125,50,50,0.0,True,1.0,ieee30,20,25,100
50,50,50,0.0,True,1.0,ieee30,20,50,0
75,50,50,0.0,True,1.0,ieee30,20,50,25
100,50,50,0.0,True,1.0,ieee30,20,50,50
150,50,50,0.0,True,1.0,ieee30,20,50,100
10,100,10,90.0,False,0.1,ieee30,20,10,0
35,100,35,65.0,False,0.35,ieee30,20,10,25
60,100,60,40.0,False,0.6,ieee30,20,10,50
110,100,100,0.0,True,1.0,ieee30,20,10,100
25,100,25,75.0,False,0.25,ieee30,20,25,0
50,100,50,50.0,False,0.5,ieee30,20,25,25
75,100,75,25.0,False,0.75,ieee30,20,25,50
125,100,100,0.0,True,1.0,ieee30,20,25,100
50,100,50,50.0,False,0.5,ieee30,20,50,0
75,100,75,25.0,False,0.75,ieee30,20,50,25
100,100,100,0.0,True,1.0,ieee30,20,50,50
150,100,100,0.0,True,1.0,ieee30,20,50,100
10,25,10,15.0,False,0.4,ieee30,25,10,0
35,25,25,0.0,True,1.0,ieee30,25,10,25
60,25,25,0.0,True,1.0,ieee30,25,10,50
110,25,25,0.0,True,1.0,ieee30,25,10,100
25,25,25,0.0,True,1.0,ieee30,25,25,0
50,25,25,0.0,True,1.0,ieee30,25,25,25
75,25,25,0.0,True,1.0,ieee30,25,25,50
125,25,25,0.0,True,1.0,ieee30,25,25,100
50,25,25,0.0,True,1.0,ieee30,25,50,0
75,25,25,0.0,True,1.0,ieee30,25,50,25
100,25,25,0.0,True,1.0,ieee30,25,50,50
150,25,25,0.0,True,1.0,ieee30,25,50,100
10,50,10,40.0,False,0.2,ieee30,25,10,0
35,50,35,15.0,False,0.7,ieee30,25,10,25
60,50,50,0.0,True,1.0,ieee30,25,10,50
110,50,50,0.0,True,1.0,ieee30,25,10,100
25,50,25,25.0,False,0.5,ieee30,25,25,0
50,50,50,0.0,True,1.0,ieee30,25,25,25
75,50,50,0.0,True,1.0,ieee30,25,25,50
125,50,50,0.0,True,1.0,ieee30,25,25,100
50,50,50,0.0,True,1.0,ieee30,25,50,0
75,50,50,0.0,True,1.0,ieee30,25,50,25
100,50,50,0.0,True,1.0,ieee30,25,50,50
150,50,50,0.0,True,1.0,ieee30,25,50,100
10,100,10,90.0,False,0.1,ieee30,25,10,0
35,100,35,65.0,False,0.35,ieee30,25,10,25
60,100,60,40.0,False,0.6,ieee30,25,10,50
110,100,100,0.0,True,1.0,ieee30,25,10,100
25,100,25,75.0,False,0.25,ieee30,25,25,0
50,100,50,50.0,False,0.5,ieee30,25,25,25
75,100,75,25.0,False,0.75,ieee30,25,25,50
125,100,100,0.0,True,1.0,ieee30,25,25,100
50,100,50,50.0,False,0.5,ieee30,25,50,0
75,100,75,25.0,False,0.75,ieee30,25,50,25
100,100,100,0.0,True,1.0,ieee30,25,50,50
150,100,100,0.0,True,1.0,ieee30,25,50,100
10,25,10,15.0,False,0.4,ieee30,29,10,0
35,25,25,0.0,True,1.0,ieee30,29,10,25
60,25,25,0.0,True,1.0,ieee30,29,10,50
110,25,25,0.0,True,1.0,ieee30,29,10,100
25,25,25,0.0,True,1.0,ieee30,29,25,0
50,25,25,0.0,True,1.0,ieee30,29,25,25
75,25,25,0.0,True,1.0,ieee30,29,25,50
125,25,25,0.0,True,1.0,ieee30,29,25,100
50,25,25,0.0,True,1.0,ieee30,29,50,0
75,25,25,0.0,True,1.0,ieee30,29,50,25
100,25,25,0.0,True,1.0,ieee30,29,50,50
150,25,25,0.0,True,1.0,ieee30,29,50,100
10,50,10,40.0,False,0.2,ieee30,29,10,0
35,50,35,15.0,False,0.7,ieee30,29,10,25
60,50,50,0.0,True,1.0,ieee30,29,10,50
110,50,50,0.0,True,1.0,ieee30,29,10,100
25,50,25,25.0,False,0.5,ieee30,29,25,0
50,50,50,0.0,True,1.0,ieee30,29,25,25
75,50,50,0.0,True,1.0,ieee30,29,25,50
125,50,50,0.0,True,1.0,ieee30,29,25,100
50,50,50,0.0,True,1.0,ieee30,29,50,0
75,50,50,0.0,True,1.0,ieee30,29,50,25
100,50,50,0.0,True,1.0,ieee30,29,50,50
150,50,50,0.0,True,1.0,ieee30,29,50,100
10,100,10,90.0,False,0.1,ieee30,29,10,0
35,100,35,65.0,False,0.35,ieee30,29,10,25
60,100,60,40.0,False,0.6,ieee30,29,10,50
110,100,100,0.0,True,1.0,ieee30,29,10,100
25,100,25,75.0,False,0.25,ieee30,29,25,0
50,100,50,50.0,False,0.5,ieee30,29,25,25
75,100,75,25.0,False,0.75,ieee30,29,25,50
125,100,100,0.0,True,1.0,ieee30,29,25,100
50,100,50,50.0,False,0.5,ieee30,29,50,0
75,100,75,25.0,False,0.75,ieee30,29,50,25
100,100,100,0.0,True,1.0,ieee30,29,50,50
150,100,100,0.0,True,1.0,ieee30,29,50,100
10,25,10,15.0,False,0.4,ieee118,7,10,0
35,25,25,0.0,True,1.0,ieee118,7,10,25
60,25,25,0.0,True,1.0,ieee118,7,10,50
110,25,25,0.0,True,1.0,ieee118,7,10,100
25,25,25,0.0,True,1.0,ieee118,7,25,0
50,25,25,0.0,True,1.0,ieee118,7,25,25
75,25,25,0.0,True,1.0,ieee118,7,25,50
125,25,25,0.0,True,1.0,ieee118,7,25,100
50,25,25,0.0,True,1.0,ieee118,7,50,0
75,25,25,0.0,True,1.0,ieee118,7,50,25
100,25,25,0.0,True,1.0,ieee118,7,50,50
150,25,25,0.0,True,1.0,ieee118,7,50,100
10,50,10,40.0,False,0.2,ieee118,7,10,0
35,50,35,15.0,False,0.7,ieee118,7,10,25
60,50,50,0.0,True,1.0,ieee118,7,10,50
110,50,50,0.0,True,1.0,ieee118,7,10,100
25,50,25,25.0,False,0.5,ieee118,7,25,0
50,50,50,0.0,True,1.0,ieee118,7,25,25
75,50,50,0.0,True,1.0,ieee118,7,25,50
125,50,50,0.0,True,1.0,ieee118,7,25,100
50,50,50,0.0,True,1.0,ieee118,7,50,0
75,50,50,0.0,True,1.0,ieee118,7,50,25
100,50,50,0.0,True,1.0,ieee118,7,50,50
150,50,50,0.0,True,1.0,ieee118,7,50,100
10,100,10,90.0,False,0.1,ieee118,7,10,0
35,100,35,65.0,False,0.35,ieee118,7,10,25
60,100,60,40.0,False,0.6,ieee118,7,10,50
110,100,100,0.0,True,1.0,ieee118,7,10,100
25,100,25,75.0,False,0.25,ieee118,7,25,0
50,100,50,50.0,False,0.5,ieee118,7,25,25
75,100,75,25.0,False,0.75,ieee118,7,25,50
125,100,100,0.0,True,1.0,ieee118,7,25,100
50,100,50,50.0,False,0.5,ieee118,7,50,0
75,100,75,25.0,False,0.75,ieee118,7,50,25
100,100,100,0.0,True,1.0,ieee118,7,50,50
150,100,100,0.0,True,1.0,ieee118,7,50,100
10,25,10,15.0,False,0.4,ieee118,18,10,0
35,25,25,0.0,True,1.0,ieee118,18,10,25
60,25,25,0.0,True,1.0,ieee118,18,10,50
110,25,25,0.0,True,1.0,ieee118,18,10,100
25,25,25,0.0,True,1.0,ieee118,18,25,0
50,25,25,0.0,True,1.0,ieee118,18,25,25
75,25,25,0.0,True,1.0,ieee118,18,25,50
125,25,25,0.0,True,1.0,ieee118,18,25,100
50,25,25,0.0,True,1.0,ieee118,18,50,0
75,25,25,0.0,True,1.0,ieee118,18,50,25
100,25,25,0.0,True,1.0,ieee118,18,50,50
150,25,25,0.0,True,1.0,ieee118,18,50,100
10,50,10,40.0,False,0.2,ieee118,18,10,0
35,50,35,15.0,False,0.7,ieee118,18,10,25
60,50,50,0.0,True,1.0,ieee118,18,10,50
110,50,50,0.0,True,1.0,ieee118,18,10,100
25,50,25,25.0,False,0.5,ieee118,18,25,0
50,50,50,0.0,True,1.0,ieee118,18,25,25
75,50,50,0.0,True,1.0,ieee118,18,25,50
125,50,50,0.0,True,1.0,ieee118,18,25,100
50,50,50,0.0,True,1.0,ieee118,18,50,0
75,50,50,0.0,True,1.0,ieee118,18,50,25
100,50,50,0.0,True,1.0,ieee118,18,50,50
150,50,50,0.0,True,1.0,ieee118,18,50,100
10,100,10,90.0,False,0.1,ieee118,18,10,0
35,100,35,65.0,False,0.35,ieee118,18,10,25
60,100,60,40.0,False,0.6,ieee118,18,10,50
110,100,100,0.0,True,1.0,ieee118,18,10,100
25,100,25,75.0,False,0.25,ieee118,18,25,0
50,100,50,50.0,False,0.5,ieee118,18,25,25
75,100,75,25.0,False,0.75,ieee118,18,25,50
125,100,100,0.0,True,1.0,ieee118,18,25,100
50,100,50,50.0,False,0.5,ieee118,18,50,0
75,100,75,25.0,False,0.75,ieee118,18,50,25
100,100,100,0.0,True,1.0,ieee118,18,50,50
150,100,100,0.0,True,1.0,ieee118,18,50,100
10,25,10,15.0,False,0.4,ieee118,41,10,0
35,25,25,0.0,True,1.0,ieee118,41,10,25
60,25,25,0.0,True,1.0,ieee118,41,10,50
110,25,25,0.0,True,1.0,ieee118,41,10,100
25,25,25,0.0,True,1.0,ieee118,41,25,0
50,25,25,0.0,True,1.0,ieee118,41,25,25
75,25,25,0.0,True,1.0,ieee118,41,25,50
125,25,25,0.0,True,1.0,ieee118,41,25,100
50,25,25,0.0,True,1.0,ieee118,41,50,0
75,25,25,0.0,True,1.0,ieee118,41,50,25
100,25,25,0.0,True,1.0,ieee118,41,50,50
150,25,25,0.0,True,1.0,ieee118,41,50,100
10,50,10,40.0,False,0.2,ieee118,41,10,0
35,50,35,15.0,False,0.7,ieee118,41,10,25
60,50,50,0.0,True,1.0,ieee118,41,10,50
110,50,50,0.0,True,1.0,ieee118,41,10,100
25,50,25,25.0,False,0.5,ieee118,41,25,0
50,50,50,0.0,True,1.0,ieee118,41,25,25
75,50,50,0.0,True,1.0,ieee118,41,25,50
125,50,50,0.0,True,1.0,ieee118,41,25,100
50,50,50,0.0,True,1.0,ieee118,41,50,0
75,50,50,0.0,True,1.0,ieee118,41,50,25
100,50,50,0.0,True,1.0,ieee118,41,50,50
150,50,50,0.0,True,1.0,ieee118,41,50,100
10,100,10,90.0,False,0.1,ieee118,41,10,0
35,100,35,65.0,False,0.35,ieee118,41,10,25
60,100,60,40.0,False,0.6,ieee118,41,10,50
110,100,100,0.0,True,1.0,ieee118,41,10,100
25,100,25,75.0,False,0.25,ieee118,41,25,0
50,100,50,50.0,False,0.5,ieee118,41,25,25
75,100,75,25.0,False,0.75,ieee118,41,25,50
125,100,100,0.0,True,1.0,ieee118,41,25,100
50,100,50,50.0,False,0.5,ieee118,41,50,0
75,100,75,25.0,False,0.75,ieee118,41,50,25
100,100,100,0.0,True,1.0,ieee118,41,50,50
150,100,100,0.0,True,1.0,ieee118,41,50,100
10,25,10,15.0,False,0.4,ieee118,51,10,0
35,25,25,0.0,True,1.0,ieee118,51,10,25
60,25,25,0.0,True,1.0,ieee118,51,10,50
110,25,25,0.0,True,1.0,ieee118,51,10,100
25,25,25,0.0,True,1.0,ieee118,51,25,0
50,25,25,0.0,True,1.0,ieee118,51,25,25
75,25,25,0.0,True,1.0,ieee118,51,25,50
125,25,25,0.0,True,1.0,ieee118,51,25,100
50,25,25,0.0,True,1.0,ieee118,51,50,0
75,25,25,0.0,True,1.0,ieee118,51,50,25
100,25,25,0.0,True,1.0,ieee118,51,50,50
150,25,25,0.0,True,1.0,ieee118,51,50,100
10,50,10,40.0,False,0.2,ieee118,51,10,0
35,50,35,15.0,False,0.7,ieee118,51,10,25
60,50,50,0.0,True,1.0,ieee118,51,10,50
110,50,50,0.0,True,1.0,ieee118,51,10,100
25,50,25,25.0,False,0.5,ieee118,51,25,0
50,50,50,0.0,True,1.0,ieee118,51,25,25
75,50,50,0.0,True,1.0,ieee118,51,25,50
125,50,50,0.0,True,1.0,ieee118,51,25,100
50,50,50,0.0,True,1.0,ieee118,51,50,0
75,50,50,0.0,True,1.0,ieee118,51,50,25
100,50,50,0.0,True,1.0,ieee118,51,50,50
150,50,50,0.0,True,1.0,ieee118,51,50,100
10,100,10,90.0,False,0.1,ieee118,51,10,0
35,100,35,65.0,False,0.35,ieee118,51,10,25
60,100,60,40.0,False,0.6,ieee118,51,10,50
110,100,100,0.0,True,1.0,ieee118,51,10,100
25,100,25,75.0,False,0.25,ieee118,51,25,0
50,100,50,50.0,False,0.5,ieee118,51,25,25
75,100,75,25.0,False,0.75,ieee118,51,25,50
125,100,100,0.0,True,1.0,ieee118,51,25,100
50,100,50,50.0,False,0.5,ieee118,51,50,0
75,100,75,25.0,False,0.75,ieee118,51,50,25
100,100,100,0.0,True,1.0,ieee118,51,50,50
150,100,100,0.0,True,1.0,ieee118,51,50,100
10,25,10,15.0,False,0.4,ieee118,71,10,0
35,25,25,0.0,True,1.0,ieee118,71,10,25
60,25,25,0.0,True,1.0,ieee118,71,10,50
110,25,25,0.0,True,1.0,ieee118,71,10,100
25,25,25,0.0,True,1.0,ieee118,71,25,0
50,25,25,0.0,True,1.0,ieee118,71,25,25
75,25,25,0.0,True,1.0,ieee118,71,25,50
125,25,25,0.0,True,1.0,ieee118,71,25,100
50,25,25,0.0,True,1.0,ieee118,71,50,0
